ID,Artist,Artist Base,Title,Year,Medium,Dimensions,Qty,Edition Size,Unit Price (USD),Est. Max Raise (USD),Subject / Featured Person(s),Memorabilia / Authentication Component,Publicity-Rights Risk Tier,Recommended Structuring Path,Notes
BM-01,Dante Mortet,"Rome, Italy",Golden Roots (Hugo Sanchez Feet Sculpture),2025,Bronze,,1,9,40000,360000,Hugo Sanchez,No,MEDIUM,A or B,Sanchez photographed on-site with piece at signing event -- implies engagement but no written commercial-securitization release on file
BM-02,Dante Mortet,"Rome, Italy",The Hands that Defended Mexico,2024,Bronze,,1,10,30000,300000,Jorge Campos,No,HIGH,B (private) or C (custody) only until licensed,No documented consent evidence in materials provided
BM-03,Dante Mortet,"Rome, Italy",Maradona - Satyr of God,2025,Bronze,"1'4""W x 4-6""H",1,1,86000,86000,Diego Maradona (deceased),No,HIGH,Do not securitize until estate-rights cleared,Publicity/estate rights of deceased persons persist in most jurisdictions (postmortem right of publicity varies by state/country) -- Maradona estate is known to be litigious over commercial use
BM-04,Dante Mortet,"Rome, Italy",Vitruvian Pele,2025,Bronze,~5.25'W x 5.9'H,1,1,,,Pele (feet cast from original mold; estate/foundation),No,MEDIUM,Gate on Pele Foundation partnership (per catalog note),"OG4ever catalog explicitly states fee/acquisition determined in partnership with Dante/Lorenzo Mortet + Pele Brand + Pele Foundation -- confirm this partnership covers securitized fractional sale, not just exhibition"
BM-05,Dante Mortet,"Rome, Italy",...The Feet! / Pele's Feet Sculpture,2019,Gold-plated Bronze,,1,1,,,Pele (feet cast from original mold),No,MEDIUM,Gate on Pele Foundation partnership,Same Pele mold family as BM-04 -- confirm partnership scope covers this piece too
BM-06,Dante Mortet,"Rome, Italy",O'Rey (The King),,Mirror-polished bronze,"3'W x 5'9""H",1,1,,,"Pele (crown/nickname reference, no cast)",No,MEDIUM,Gate on Pele Foundation partnership,Does not use Pele's likeness directly (abstract soccer-ball form) -- lower risk than direct cast pieces but still trades on his identity/nickname
BM-07,Dante Mortet,"Rome, Italy",David on the Move,2025,Bronze,"1'5""W x 5-7""H",1,1,,,None (Michelangelo's David reinterpretation),No,N/A - NOT DEPICTING A PERSON,"A or B, fastest to move","Public-domain classical subject, no living/recently-deceased person -- cleanest piece in the roster from a rights standpoint"
BM-08,Dante Mortet,"Rome, Italy",Goal! bust series,2025,Jesmonite or Bronze,"9""x17"" to 14""x19""",10,10,,,"Beckham, Baggio, Beckenbauer, Cruyff, Hugo Sanchez, Ibrahimovic, Maradona, Pele, Ronaldo, Zidane",No,HIGH,Do not securitize as a set until each subject licensed,10 different living/deceased public figures in one series -- worst-case diligence load in the catalog; license or drop subjects one at a time
BM-09,Dante Mortet & Lorenzo Mortet,"Rome, Italy",The Artist's Suitcase,2025,Mixed media / plexiglass,"~4'W x 6'3""H",1,1,,,Pele,No,MEDIUM,Gate on Pele Foundation partnership,"Incorporates painting, foot sculpture, jersey, ball -- all Pele-referencing"
BM-10,Dante Mortet,"Rome, Italy",'Living' Family Tree,Ongoing,Bronze,,1,1,,,Non-public family members (43 hand casts),No,LOW,B only (private placement),"Private family, not public figures -- publicity risk low but this is a sentimental/non-transactable heirloom piece, weak fit for any investor offering"
BM-11,Lorenzo Mortet,"Rome, Italy",Generational Dream,2024,Print w/ painted 24k gold embellishment,54x41 in,1,1,10000,10000,Pele (portrait),No,MEDIUM,Gate on Pele Foundation partnership,
BM-12,Lorenzo Mortet,"Rome, Italy",Hugo Sanchez (serigraph),2025,Serigraph w/ 24k gold embellishment,,1,1,15000,15000,Hugo Sanchez,No,MEDIUM,A or B,Sanchez photographed signing the piece -- same consent gap as BM-01
BM-13,Dante Mortet,"Rome, Italy",Commissioned hand/foot sculpture (1 subject),,Bronze,,1,,18000,,Commission-dependent (buyer's choice),No,LOW,Not a fit for fractional offering,"Bespoke commission product -- keep as direct-sale revenue line, not an SPV asset"
BM-14,Dante Mortet,"Rome, Italy",Commissioned hand/foot sculpture (2 subjects),,Bronze,,1,,30000,,Commission-dependent (buyer's choice),No,LOW,Not a fit for fractional offering,
PF-01,Plant the Future,"Miami, FL",Lionel Messi (moss portrait),2017,Preserved moss on PVC,"48""x48""",1,1,10000,10000,Lionel Messi,No,HIGH,B (private) or C only until licensed,No documented consent
PF-02,Plant the Future,"Miami, FL","Moss portrait series (Bale, Kroos, Benzema, Neymar, Vidal, Pique)",,Preserved moss on PVC,4'x4' framed,6,6,10000,360000,"Bale, Kroos, Benzema, Neymar, Vidal, Pique",No,HIGH,B (private) or C only until licensed,6 additional undocumented-consent subjects
RM-01,Rene Makela,"Mallorca, Spain",Mamba FC,2020,Oil on canvas,77x51 in,1,1,27000,27000,Kobe Bryant (deceased),No,HIGH,Do not securitize until estate-rights cleared,Postmortem right of publicity -- Bryant estate is active/protective of IP
RM-02,Rene Makela,"Mallorca, Spain",Oh Captain! My Captain!,2026,"Canvas print, ed. of 10",36x48 in,1,10,1000,10000,Lionel Messi,No,HIGH,B (private) or C only until licensed,
RM-03,Rene Makela,"Mallorca, Spain","Vini, Vidi, Vici.",2024,Oil on canvas,77x51 in,1,1,27000,27000,Vinicius Jr.,No,HIGH,B (private) or C only until licensed,
RM-04,Rene Makela,"Mallorca, Spain",Nadal,2024,Oil on canvas mounted on wood,77x51 in,1,1,27000,27000,Rafael Nadal,No,HIGH,B (private) or C only until licensed,
RM-05,Rene Makela,"Mallorca, Spain",MJ23,2017,"Oil, acrylic, spray on canvas/wood",85x85 in,1,1,36000,36000,Michael Jordan,No,HIGH,B (private) or C only until licensed,
LC-01,Lili Cantero,"Miami, FL (from Asuncion, Paraguay)","World Cup Champion Collection (8 painted footballs: Argentina, Brasil, France, Germany, Uruguay, England, Italy, Spain)",2022,Acrylic + 23.75k gold paint on football,,8,8,8000,512000,National teams (no individual likeness),No,LOW,"A or B, strong candidate",No individual person depicted -- flags/national iconography only. Cleanest multi-unit series in the roster
LC-02,Lili Cantero,"Miami, FL",In the Footsteps of Lionel Messi: from Rosario to Barcelona (2nd ed. boots),2018,Acrylic + gold paint on football boots,,1,1,15000,15000,Lionel Messi,No,MEDIUM,B (private) or C,"Lili gifted 1st edition directly to Messi -- some documented relationship, still no written commercial release"
LC-03,Lili Cantero,"Miami, FL",Inter Miami,2024,Acrylic on canvas incorporating jersey,27.6x43.5 in,1,1,10000,10000,"Inter Miami roster (jersey), no single portrait","Yes - jersey incorporated, no LOA cited",MEDIUM,B or C,Incorporates a physical team jersey -- confirm authentication/chain of custody if one is claimed
LC-04,Lili Cantero,"Miami, FL",Chasing Greatness Together,2024,Acrylic + graphite on wood incorporating rackets,38x40 in,1,1,8000,8000,Venus & Serena Williams (implied by rackets motif),"Yes - rackets incorporated, no LOA cited",HIGH,B (private) or C only until licensed,
CT-01,Cristian Troiani,"Rome, Italy",El Gol Anunciado Antes,2023,Painted MDF and nails,32.68x44.10 in,1,1,7500,7500,"Roberto Baggio (likely, unconfirmed from image)",No,HIGH,B (private) or C only until licensed,
CT-02,Cristian Troiani,"Rome, Italy",Claro y Oscuro,2019,Painted MDF and nails,26.38x29.53 in,1,1,6000,6000,Diego Maradona (deceased),No,HIGH,Do not securitize until estate-rights cleared,
MH-01,Murray Henderson,"Toronto, Canada",Larger than Life World Champion,2025,Acrylic on canvas -- largest trading card in world,48x96 in,1,1,50000,50000,Lionel Messi,No,HIGH,B (private) or C only until licensed,
MH-02,Murray Henderson,"Toronto, Canada",World Champion,2025,Original hand-embellished giclee,30x39.5 in,1,1,1500,1500,Lionel Messi,No,HIGH,B (private) or C only until licensed,
MH-03,Murray Henderson,"Toronto, Canada",Beautiful Dozen -- original hand-painted trading cards,2026,"Acrylic, hand-painted",2.5x3.5 in,12,12,,,"Pele, Messi, Cristiano Ronaldo, Mbappe, Yamal, Vinicius Jr., Haaland, Pulisic, Dembele, Diaz, Balogun, Son",No,HIGH,C (whole-object custody receipt) strong fit,"Originals sold via eBay auction, not a fixed price -- 12 undocumented-consent subjects in one set"
MH-04,Murray Henderson,"Toronto, Canada","Beautiful Dozen -- canvas print editions (3 of each, embellishment option +$2,000)",2026,"Prints on canvas, ltd ed. of 3 each",25x35 in,12,3,750,27000,Same 12 as MH-03,No,HIGH,C (whole-object custody receipt) strong fit,"Price tiers $500/$700/$850/$1,000 by player tier per catalog; average used here"
MH-05,Murray Henderson,"Toronto, Canada",Leo x Cristiano,2026,Acrylic on canvas,36x36 in,1,1,18000,18000,Messi + Cristiano Ronaldo,No,HIGH,B (private) or C only until licensed,On exhibition at Graffiti Museum
